Argument ID,Aggregate rank,Mean rank,Rank annotator 1,Rank annotator 2,Rank annotator 3,Rank annotator 4,Rank annotator 5,Rank annotator 6,Rank annotator 7,Conclusion argument unit ID,Conclusion text,Number of premises,Corrected conclusion string,Corrected premises text,Premise 1 argument unit ID,Premise 1 text,Premise 2 argument unit ID,Premise 2 text,Premise 3 argument unit ID,Premise 3 text,Premise 4 argument unit ID,Premise 4 text,,,
17624,1,1.285714286,1,2,1,1,1,2,1,28309,pumping ground water in discriminately without recharging is creating havoc,3,Pumping ground water indiscriminately without recharging is creating havoc.,"The water level is reducing day by day. When the water table comes down, it affects the drinking water and tubewells get dislodged. If pumping water indiscriminately is reducing the water level day by day and reducing the water level is affecting drinking water and dislodging tubewells pumping ground water indiscriminately is causing havoc.",28311,The water level is reducing day by day,28312,When the water table comes down it affects the drinking water and tubewells get dislodged.,28313,If pumping water indiscriminately is reducing the water level day by day and reducing the water level is affecting drinking water and dislodging tubewells pumping ground water indiscriminately is causing havoc., ,,,,
6895,1,1.428571429,2,2,1,1,2,1,1,8370,Strawberries are the best choice for Your breakfast meal!,2,Strawberries are the best choice for your breakfast meal!,&quot,Berries are superfoods because they're so high in antioxidants without being high in calories&quot,, says Giovinazzo. That's a nutritionist at Clay health club and spa," in New York City.""""",8371,"&quot;Berries are superfoods because they're so high in antioxidants without being high in calories,&quot; says Giovinazzo",8369,"MS, RD, a nutritionist at Clay Health Club and Spa, in New York City.", ,, 
6898,2,1.571428571,1,1,2,2,1,2,2,8370,Strawberries are the best choice for Your breakfast meal!,1,Strawberries are the best choice for your breakfast meal!,"One cup of strawberries, for instance, contains your full recommended daily intake of vitamin C, along with high quantities of folic acid and fiber.",8372,"One cup of strawberries, for instance, contains your full recommended daily intake of vitamin C, along with high quantities of folic acid and fiber.", ,, ,, ,,,,
6896,3,3,3,3,3,3,3,3,3,8370,Strawberries are the best choice for Your breakfast meal!,1,Strawberries are the best choice for your breakfast meal!,Strawberries are good for your ticker.,8373,"Strawberries are good for your ticker, too.", ,, ,, ,,,,
3749,4,3.428571429,4,2,5,6,2,2,3,4087,Technology has enhanced the daily life of humans.�,1,Technology has enhanced the daily life of humans.,"No longer is shopping a personal experience, you're mostly dealing with computers when you're purchasing online.",4091,"No longer is shopping a personal experience, you�re mostly dealing with computers when you�re purchasing online.", ,, ,, ,,,,
3747,5,4.285714286,6,1,4,4,5,4,6,4087,Technology has enhanced the daily life of humans.�,1,Technology has enhanced the daily life of humans.,Social interactions via the internet are a huge waste of time.,4089,Social interactions via the internet are a huge waste of time., ,, ,, ,,,,
3746,2,2.714285714,3,5,2,3,1,1,4,4087,Technology has enhanced the daily life of humans.�,1,Technology has enhanced the daily life of humans.,Technology has given us a means of social interaction that wasn't possible before.,4088,Technology has given us a means of social interaction that wasn�t possible before., ,, ,, ,,,,
3750,1,2,1,3,1,2,3,3,1,4087,Technology has enhanced the daily life of humans.�,1,Technology has enhanced the daily life of humans.,The internet has enabled us to widen our knowledge.,4092,The internet has also enabled us to widen our knowledge.�, ,, ,, ,,,,
3748,3,3.142857143,2,4,3,1,4,6,2,4087,Technology has enhanced the daily life of humans.�,1,Technology has enhanced the daily life of humans.,The use of technology has revolutionized business.,4090,The use of technology has revolutionized business., ,, ,, ,,,,
3751,6,5.428571429,5,6,6,5,6,5,5,4087,Technology has enhanced the daily life of humans.�,1,Technology has enhanced the daily life of humans.,There's a ton of information on the internet that is entirely useless.,4093,There�s a ton of information on the internet that is entirely useless.�, ,, ,, ,,,,
6997,1,1.285714286,1,1,3,1,1,1,1,8549,Teenage pregnancies are a moral problem,1,Teenage pregnancies are a moral problem.,"17, 18 and 19 year-olds having children used to be the norm not too long ago.",8556,"17, 18 and 19 year-olds having children used to be the norm not too long ago", ,, ,, ,,,,
7004,3,2.428571429,3,3,2,3,2,2,2,8549,Teenage pregnancies are a moral problem,1,Teenage pregnancies are a moral problem.,Teenage mothers are (morally) irresponsible.,8563,Teenage mothers are (morally) irresponsible, ,, ,, ,,,,
6995,2,2.285714286,2,2,1,2,3,3,3,8549,Teenage pregnancies are a moral problem,1,Teenage pregnancies are a moral problem.,The moral constraints that once served teenager's best interests are gone.,8551,The moral constraints that once served teenager's best interests are gone, ,, ,, ,,,,
17733,1,1.285714286,1,1,1,2,1,2,1,28527,The changes that happened under Mohammed were incredible,1,The changes that happened under Muhammad were incredible.,"If we were to take a look at Arabia before and after the coming of Muhammad, we would see two completely different societies.",28524,If we were to take a look at Arabia before and after the coming of Muhammad we would see two completely different societies., ,, ,, ,,,,
17732,2,1.714285714,2,2,2,1,2,1,2,28527,The changes that happened under Mohammed were incredible,1,The changes that happened under Muhammad were incredible.,Not even did the blessed biblical prophets nor Jesus himself change the behavior of a people so steeped in immorality and idolatry.,26598,Not even did the blessed Biblical prophets nor Jesus himself change the behavior of a people so steeped in immorality and idolatry., ,, ,, ,,,,
17147,3,3.714285714,3,4,3,4,4,3,5,27319,The Church is good,1,The Church is good.,Example: Catholic charities.,27316,Catholic charities, ,, ,, ,,,,
17148,2,2,2,3,1,3,1,2,2,27319,The Church is good,1,The Church is good.,Example: Hospitals.,27317,hospitals, ,, ,, ,,,,
17150,4,3.857142857,4,1,4,5,5,5,3,27319,The Church is good,1,The Church is good.,Mother theresa and people likes her more than make up for the bad done by a small minority.,26642,Mother theresa and people likes her more than make up for the bad doen by a small minority, ,, ,, ,,,,
17149,1,1.571428571,1,2,2,2,2,1,1,27319,The Church is good,1,The Church is good.,Example: Schools in most of the poorest countries in the world.,27318,schools in most of the poorest countries in the world., ,, ,, ,,,,
17146,4,3.857142857,5,5,5,1,3,4,4,27319,The Church is good,1,The Church is good.,Example: The good done by the church and sponsored by the church worldwide.,27315,the good doen by the church and sponsored by the church worldwide, ,, ,, ,,,,
197,3,3.142857143,3,2,4,5,3,1,4,23,it was never there,1,The thrill of Twitter was never there.,"I hate to always be bad mouthing Twitter, but there really isn't much good to say about it, so all you're left with is how overrated it is.",315,Amen Devin! I hate to always be bad mouthing twitter but there really isn't much good to say about it so all you're left with is how overrated it is., ,, ,, ,,,,
12,1,1.571428571,1,1,2,1,1,4,1,23,it was never there,1,The thrill of Twitter was never there.,"There was a thrill when there was the actual possibility that Twitter was about connecting to people, but it quickly turned into a massive broadcast/link machine (@techcunch included in this sin). And the featured list really did a tremendous damage.",24,"Devin, there was a thrill when there was actual possibility that Twitter was about connecting to people but it quickly turned into a massive broadcast/link machine (@Techcunch included in this sin). And the Featured list really did a tremendous damage.", ,, ,, ,,,,
984,5,4,4,3,5,4,4,3,5,23,it was never there,1,The thrill of Twitter was never there.,Twitter was always lame. I'm glad I don't know anyone who &quot,tweets&quot,".""""",1045,Exactly. Twitter was always lame. I'm glad I don't know anyone who `tweets'., ,, ,, ,,
820,2,2.571428571,2,4,3,3,2,2,2,23,it was never there,1,The thrill of Twitter was never there.,It's not that there is nothing good about it. It's just that whatever is there is over-hyped.,925,Its not that there is nothing good about it. Its just that whatever is there is over-hyped., ,, ,, ,,,,
1936,4,3.714285714,5,5,1,2,5,5,3,23,it was never there,1,The thrill of Twitter was never there.,"You're clearly vain enough to stick around to read and respond here all night. I would think you'd love Twitter. After all, your many answers to these inane comments (mine included, but who said everything has to be meaningful?) are like awkwardly done Twitter replies.",1427,"You're clearly vain enough to stick around to read and respond here all night -- I would think you'd love Twitter. After all, your many answers to these inane comments (mine included, but who said everything has to be meaningful?) are like awkwardly done Twitter replies.", ,, ,, ,,,,
3517,4,4,4,3,5,3,4,5,4,3788,"Thirdly, the web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world",1,The web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world.,"Generally speaking, it is thought that the range of services available on the web can encourage a sedentary and antisocial behaviour in people.",3799,"Additionally, we can stay aware of the events of the world via news platforms such as the BBC website", ,, ,, ,,,,
3523,2,2.428571429,3,1,3,2,2,4,2,3788,"Thirdly, the web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world",1,The web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world.,It is often believed that this easy, immediate access to knowledge leads to people simply not learning anything since they think they can just &quot,google&quot," their queries instead.""""",3803,"Also, generally speaking, it is thought that the range of services available on the web can encourage a sedentary and antisocial behaviour in people", ,, ,, ,
3522,5,4.571428571,5,5,4,5,5,3,5,3788,"Thirdly, the web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world",1,The web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world.,Shopping is done through websites such as eBay and Amazon.,3802,"However, it is often believed that this easy, immediate access to knowledge leads to people simply not learning anything since they think they can just �google� their queries instead", ,, ,, ,,,,
3518,3,2.857142857,2,4,2,4,3,2,3,3788,"Thirdly, the web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world",1,The web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world.,We can stay aware of the events of the world via news platforms such as the BBC website.,3800,Shopping is also done through websites such as eBay and Amazon, ,, ,, ,,,,
3516,1,1.142857143,1,2,1,1,1,1,1,3788,"Thirdly, the web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world",1,The web serves an informative purpose by helping individuals quickly acquire information while sharing their own ideas with the world.,Websites like Wikipedia and instructables make it extremely easy for us to find new knowledge or to learn new skills.,3798,Websites like Wikipedia and Instructables make it extremely easy for us to find new knowledge or to learn new skills, ,, ,, ,,,,
17158,2,2,2,3,1,2,1,4,1,27339,His suggestion is disturbing unworkable and potentially dangerous.,3,"Watter's suggestion to lock up addicts is disturbing, unworkable, and potentially dangerous.","Addiction cannot be cured by implementing these suggestions. Locking up addicts against their will would not only violate their rights; it would be likely to prove counter-productive. If implementing Watter's suggestions cannot cure addicts and will be counterproductive, the suggestions are disturbing unworkable and potentially dangerous.",27340,Addiction cannot be cured by implementing his suggestions,27341,Locking up addicts against their will would not only violate their rights; it would be likely to prove counter-productive.,27342,If implementing Walter's suggestions cannot cure addicts and will be counterproductive the suggestions are disturbing unworkable and potentially dangerous, ,,,,
17670,4,3.428571429,4,2,3,4,4,3,4,27339,His suggestion is disturbing unworkable and potentially dangerous.,1,"Watter's suggestion to lock up addicts is disturbing, unworkable, and potentially dangerous.",As someone who has watched several close friends struggle with heroin addiction I have to ask: What is Watter's thinking?,28402,As someone who has watched several close friends struggle with heroin addiction I have to ask: what is Watters thinking?, ,, ,, ,,,,
17672,3,2.857142857,3,4,4,1,3,2,3,27339,His suggestion is disturbing unworkable and potentially dangerous.,1,"Watter's suggestion to lock up addicts is disturbing, unworkable, and potentially dangerous.",Locking up addicts against their will would not only violate their rights; it would be likely to prove counter-productive.,27341,Locking up addicts against their will would not only violate their rights; it would be likely to prove counter-productive., ,, ,, ,,,,
17671,1,1.714285714,1,1,2,3,2,1,2,27339,His suggestion is disturbing unworkable and potentially dangerous.,1,"Watter's suggestion to lock up addicts is disturbing, unworkable, and potentially dangerous.",The decision to quit drugs cannot be enforced from the outside.,28403,the decision to quit drugs cannot be enforced from the outside., ,, ,, ,,,,
2713,2,1.571428571,1,1,2,2,2,1,2,2656,we lack any sense of the common good,1,We lack any sense of the common good.,"The only thing we hold in common is something abstract, which is money.",2657,"the only thing we hold in common is something abstract, which is money", ,, ,, ,,,,
6585,1,1.428571429,2,2,1,1,1,2,1,2656,we lack any sense of the common good,1,We lack any sense of the common good.,"We've got this idea that if we all pursue our selfish interests, somehow harmony will result from that.",7880,"we�ve got this idea that if we all pursue our selfish interests, somehow harmony will result from that", ,, ,, ,,,,
2621,1,1.142857143,1,1,1,2,1,1,1,2522,"wealth creation has benefitted a lot of the world, but not all the world",1,"Wealth creation has benefitted a lot of the world, but not all the world.","Some of the world is suffering from the impact of development on climate change, for example.",2523,"some of the world is suffering from the impact of development on climate change, for example", ,, ,, ,,,,
2622,2,1.857142857,2,2,2,1,2,2,2,2522,"wealth creation has benefitted a lot of the world, but not all the world",1,"Wealth creation has benefitted a lot of the world, but not all the world.",The world is doing pretty well from capitalism at the moment.,2524,the world is doing pretty well from Capitalism at the moment, ,, ,, ,,,,
128,2,1.714285714,2,2,1,2,2,2,1,215,**What can be said in 140 characters is either trivial or abridged;,1,What can be said in 140 characters is either trivial or abridged.,It's not always abridged: you can include links to websites like this one.,214,1. it's not always abridged: you can include links to websites like this one, ,, ,, ,,,,
151,1,1.285714286,1,1,2,1,1,1,2,215,**What can be said in 140 characters is either trivial or abridged;,1,What can be said in 140 characters is either trivial or abridged.,"I believe Twitter is more of a link to news site, meaning that most of my 140 characters are usually used for a hyperlink to some information i believe is useful (to me at least, and therefore, hopefully useful to others). I was a big opponent of Twitter until I started using it regularly and following the people that i find interesting.",248,"I believe twitter is more of a link to news site. Meaning that most of my 140 characters are usually used for a hyperlink to some information I believe is useful (to me at least, and therefore, hopefully useful to others). I was a big opponent of twitter until I started using it regularly and following the people that I find interesting.", ,, ,, ,,,,
